Date,GMSL,CO2 conc.,CO2 emissions,Long-run NO2 concentration,Per-capita NO2 emissions in CO2 equivalents,Long-run CH4 concentration,Per-capita methane emissions in CO2 equivalents,Global avg temp. anomaly relative to 1961-1990,Sea surface temperature anomaly (relative to 1961-90 average),Sea surface temperature anomaly (relative to 1961-90 average) trend,Sea surface temperature anomaly (relative to 1961-90 average) anomaly,Nino 1.2,Nino 3,Nino 3.4,Nino 3.4 trend,Nino 4,North Sea Ice Extent Avg,North Sea Ice Extent Min,South Sea Ice Extent Avg trend ,South Sea Ice Extent Max,South Sea Ice Extent Max trend,South Sea Ice Extent Min,South Sea Ice Extent Avg,South Sea Ice Extent Avg Raw,South Sea Ice Extent Raw Avg trend
30/09/1881,-185.4001767,290.3780589,921247173.3,275.9166667,0.169909667,847,1.100299633,-0.274435227,-0.194633333,-0.571714404,-0.339333333,20.13,24.49,26.42,-0.811727291,28.33,17.51815722,15.22505088,10.98624552,18.79595662,17.21133671,3.741543632,12.23195301,12.29047775,10.71085413
31/10/1881,-186.9453156,290.5084259,925407445,275.93,0.16994525,847.09,1.10071615,-0.27970894,-0.199875,-0.571907355,-0.3405,21.03,24.5,26.31,-0.811215956,28.3,17.51386072,15.21856614,10.98667228,18.79571801,17.21223831,3.741022664,12.23145934,12.29025959,10.71176311
30/11/1881,-188.4904546,290.6387928,929567716.7,275.9433333,0.169980833,847.18,1.101132667,-0.284982653,-0.205116667,-0.572100306,-0.341666667,21.73,24.37,26.06,-0.810704621,28.16,17.50956421,15.2120814,10.98709904,18.79547939,17.21313991,3.740501696,12.23096568,12.29004143,10.7126721
31/12/1881,-190.0355935,290.7691598,933727988.3,275.9566667,0.170016417,847.27,1.101549183,-0.290256367,-0.210358333,-0.572293257,-0.342833333,22.53,24.66,26.22,-0.810193286,28.14,17.5052677,15.20559667,10.98752579,18.79524078,17.21404151,3.739980728,12.23047202,12.28982326,10.71358108
31/01/1882,-191.5807325,290.8995267,937888260,275.97,0.170052,847.36,1.1019657,-0.29553008,-0.2156,-0.572486208,-0.344,24.01,24.97,26.13,-0.809681951,27.91,17.5009712,15.19911193,10.98795255,18.79500216,17.21494311,3.739459759,12.22997835,12.2896051,10.71449007
28/02/1882,-191.4869821,291.0298936,942857118.3,275.9825,0.170063583,847.4508333,1.102434133,-0.29977544,-0.218416667,-0.572679159,-0.353583333,25.5,25.61,26.21,-0.809170617,27.68,17.4966747,15.19262719,10.98837931,18.79476354,17.21584471,3.738938791,12.22948469,12.28938694,10.71539905
31/03/1882,-191.3932317,291.1602606,947825976.7,275.995,0.170075167,847.5416667,1.102902567,-0.3040208,-0.221233333,-0.572872111,-0.363166667,26.12,26.4,26.73,-0.808659282,27.92,17.49237819,15.18614246,10.98880607,18.79452493,17.21674631,3.738417823,12.22899103,12.28916877,10.71630804
30/04/1882,-191.2994813,291.2906275,952794835,276.0075,0.17008675,847.6325,1.103371,-0.30826616,-0.22405,-0.573065062,-0.37275,25.49,27.33,27.87,-0.808147947,28.57,17.48808168,15.17965772,10.98923282,18.79428631,17.21764791,3.737896855,12.22849736,12.28895061,10.71721703
31/05/1882,-191.2057308,291.4209945,957763693.3,276.02,0.170098333,847.7233333,1.103839433,-0.31251152,-0.226866667,-0.573258013,-0.382333333,24.13,26.82,27.88,-0.807636612,28.86,17.48378518,15.17317299,10.98965958,18.79404769,17.21854951,3.737375887,12.2280037,12.28873245,10.71812601
30/06/1882,-191.1119804,291.5513614,962732551.7,276.0325,0.170109917,847.8141667,1.104307867,-0.31675688,-0.229683333,-0.573450964,-0.391916667,22.15,25.75,27.29,-0.807125277,28.66,17.47948868,15.16668825,10.99008634,18.79380908,17.21945111,3.736854918,12.22751004,12.28851428,10.719035
31/07/1882,-191.01823,291.6817284,967701410,276.045,0.1701215,847.905,1.1047763,-0.32100224,-0.2325,-0.573643915,-0.4015,20.87,24.66,26.65,-0.806613942,28.43,17.47519217,15.16020352,10.9905131,18.79357046,17.22035272,3.73633395,12.22701637,12.28829612,10.71994398
31/08/1882,-190.9244796,291.8120953,972670268.3,276.0575,0.170133083,847.9958333,1.105244733,-0.3252476,-0.235316667,-0.573836866,-0.411083333,19.75,24.29,26.55,-0.806102608,28.54,17.47089567,15.15371878,10.99093985,18.79333184,17.22125432,3.735812982,12.22652271,12.28807795,10.72085297
